Xerocomellus_457	bb14_103_oh_fa_230407_dna739|ITS|HM190102.1
Xerocomellus_458	bb28_103_of_fa_230407_dna735|ITS|HM190101.1
Xerocomellus_459	bb06_101_oh_pi_230407_dna722|ITS|HM190100.1
Xerocomellus_460	bb28_101_of_fa_230407_dna718|ITS|HM190099.1
Xerocomellus_461	bb28_109_of_fa_150107_dna684|ITS|HM190098.1
Xerocomellus_462	bb28_306_oh_fa_150107_dna681|ITS|HM190097.1
Xerocomellus_463	bb06_306_of_pi_150107_dna676|ITS|HM190096.1
Xerocomellus_464	bb06_305_of_pi_011106_dna584|ITS|HM190095.1
Xerocomellus_465	bb28_109_of_fa_231006_dna551|ITS|HM190094.1
Xerocomellus_466	bb28_404_oh_161006_dna454|ITS|HM190093.1
Xerocomellus_467	bb28_107_ah_fa_080506_dna166|ITS|HM190092.1
Xerocomellus_468	bb06_104_oh_pi_080506_dna142|ITS|HM190091.1
Xerocomellus_469	bb23_103_of_pi_080506_dna138|ITS|HM190090.1
Xerocomellus_470	bb61_308_ah_pi_150506_dna82|ITS|HM190089.1
Xerocomellus_471	bb06_308_ah_pi_150506_dna82|ITS|HM190088.1
Xerocomellus_472	bb28_404_oh_220506_dna15|ITS|HM190087.1
Xerocomellus_473	bb28_403_ah_161006_dna451|ITS|HM190086.1
Xerocomellus_474	bb28_409_oh_161006_dna660|ITS|HM190085.1
Xerocomellus_475	bb28_409_oh_161006_dna479|ITS|HM190084.1
Xerocomellus_476	bb28_305_bv_fa_150506_66|ITS|HM190083.1
